#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-F4DEE36978FDE04-39C4DC92B536F31D
#datatype	hitsConcise Results
#status	0
#Start time	2015-06-27T19:51:07	Run time	0:01:52:00
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >302203814	specific	238088	6	119	1.34611e-32	112.284	cd00156	REC	 - 	cl19078
Q#1 - >302203814	superfamily	271833	6	119	1.34611e-32	112.284	cl19078	REC superfamily	 - 	 - 
Q#2 - >302204166	specific	238088	6	119	1.79688e-34	116.906	cd00156	REC	 - 	cl19078
Q#2 - >302204166	superfamily	271833	6	119	1.79688e-34	116.906	cl19078	REC superfamily	 - 	 - 
Q#3 - >302204208	specific	238088	5	119	3.85969e-36	121.144	cd00156	REC	 - 	cl19078
Q#3 - >302204208	superfamily	271833	5	119	3.85969e-36	121.144	cl19078	REC superfamily	 - 	 - 
Q#3 - >302204208	multi-dom	223816	3	119	1.1265e-31	112.776	COG0745	OmpR	C	 - 
Q#4 - >302203711	specific	238088	7	121	3.1676e-41	138.478	cd00156	REC	 - 	cl19078
Q#4 - >302203711	superfamily	271833	7	121	3.1676e-41	138.478	cl19078	REC superfamily	 - 	 - 
Q#4 - >302203711	specific	238225	136	231	1.01091e-36	126.025	cd00383	trans_reg_C	 - 	cl21459
Q#4 - >302203711	superfamily	277524	136	231	1.01091e-36	126.025	cl21459	HTH superfamily	 - 	 - 
Q#4 - >302203711	multi-dom	223816	4	235	3.62674e-92	273.019	COG0745	OmpR	 - 	 - 
Q#5 - >302203717	specific	238088	7	120	1.7548e-39	133.855	cd00156	REC	 - 	cl19078
Q#5 - >302203717	superfamily	271833	7	120	1.7548e-39	133.855	cl19078	REC superfamily	 - 	 - 
Q#5 - >302203717	specific	238225	135	229	8.32782e-31	110.617	cd00383	trans_reg_C	 - 	cl21459
Q#5 - >302203717	superfamily	277524	135	229	8.32782e-31	110.617	cl21459	HTH superfamily	 - 	 - 
Q#5 - >302203717	multi-dom	223816	5	232	2.33203e-84	252.988	COG0745	OmpR	 - 	 - 
Q#6 - >302204738	specific	238088	7	118	5.33098e-39	132.314	cd00156	REC	 - 	cl19078
Q#6 - >302204738	superfamily	271833	7	118	5.33098e-39	132.314	cl19078	REC superfamily	 - 	 - 
Q#6 - >302204738	specific	238225	131	224	3.13144e-26	98.2904	cd00383	trans_reg_C	 - 	cl21459
Q#6 - >302204738	superfamily	277524	131	224	3.13144e-26	98.2904	cl21459	HTH superfamily	 - 	 - 
Q#6 - >302204738	multi-dom	223816	6	227	7.52459e-80	241.432	COG0745	OmpR	 - 	 - 
Q#7 - >302203883	specific	238088	7	118	2.0638e-29	108.047	cd00156	REC	 - 	cl19078
Q#7 - >302203883	superfamily	271833	7	118	2.0638e-29	108.047	cl19078	REC superfamily	 - 	 - 
Q#7 - >302203883	specific	252568	157	256	1.16393e-27	103.063	pfam04397	LytTR	 - 	cl04498
Q#7 - >302203883	superfamily	262178	157	256	1.16393e-27	103.063	cl04498	LytTR superfamily	 - 	 - 
Q#7 - >302203883	multi-dom	225818	5	257	5.90246e-62	197.198	COG3279	LytT	 - 	 - 
Q#8 - >302205061	specific	238088	6	114	1.19171e-32	118.832	cd00156	REC	 - 	cl19078
Q#8 - >302205061	superfamily	271833	6	114	1.19171e-32	118.832	cl19078	REC superfamily	 - 	 - 
Q#8 - >302205061	specific	249644	270	311	1.13168e-07	47.9622	pfam00165	HTH_AraC	 - 	cl02815
Q#8 - >302205061	superfamily	249644	270	311	1.13168e-07	47.9622	cl02815	HTH_AraC superfamily	 - 	 - 
Q#8 - >302205061	specific	249644	321	361	1.14344e-05	42.1842	pfam00165	HTH_AraC	 - 	cl02815
Q#8 - >302205061	superfamily	249644	321	361	1.14344e-05	42.1842	cl02815	HTH_AraC superfamily	 - 	 - 
Q#8 - >302205061	multi-dom	227095	2	364	1.1411e-61	206.826	COG4753	YesN	 - 	 - 
Q#9 - >302203815	specific	238088	8	131	2.17682e-30	112.669	cd00156	REC	 - 	cl19078
Q#9 - >302203815	superfamily	271833	8	131	2.17682e-30	112.669	cl19078	REC superfamily	 - 	 - 
Q#9 - >302203815	specific	250544	171	351	3.07446e-88	265.888	pfam01339	CheB_methylest	 - 	cl03170
Q#9 - >302203815	superfamily	250544	171	351	3.07446e-88	265.888	cl03170	CheB_methylest superfamily	 - 	 - 
Q#9 - >302203815	multi-dom	234828	5	354	1.80215e-172	487.35	PRK00742	PRK00742	 - 	 - 
Q#10 - >302204834	specific	238088	7	108	5.776e-16	72.6085	cd00156	REC	 - 	cl19078
Q#10 - >302204834	superfamily	271833	7	108	5.776e-16	72.6085	cl19078	REC superfamily	 - 	 - 
Q#10 - >302204834	specific	250544	156	337	1.78875e-70	220.049	pfam01339	CheB_methylest	 - 	cl03170
Q#10 - >302204834	superfamily	250544	156	337	1.78875e-70	220.049	cl03170	CheB_methylest superfamily	 - 	 - 
Q#10 - >302204834	multi-dom	234828	1	339	6.29404e-108	322.099	PRK00742	PRK00742	 - 	 - 
Q#11 - >302203107	specific	238088	8	121	8.54422e-27	103.039	cd00156	REC	 - 	cl19078
Q#11 - >302203107	superfamily	271833	8	121	8.54422e-27	103.039	cl19078	REC superfamily	 - 	 - 
Q#11 - >302203107	specific	239385	148	321	1.31806e-17	77.7736	cd03111	CpaE_like	 - 	cl21455
Q#11 - >302203107	superfamily	277521	148	321	1.31806e-17	77.7736	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#11 - >302203107	superfamily	277521	148	267	0.000407315	40.3073	cl21455	P-loop_NTPase superfamily	C	 - 
Q#11 - >302203107	multi-dom	223531	146	403	3.44078e-29	113.908	COG0455	FlhG	 - 	 - 
Q#11 - >302203107	multi-dom	225107	5	122	3.26725e-27	107.004	COG2197	CitB	C	 - 
Q#12 - >302204207	specific	238088	7	118	2.4444e-34	120.758	cd00156	REC	 - 	cl19078
Q#12 - >302204207	superfamily	271833	7	118	2.4444e-34	120.758	cl19078	REC superfamily	 - 	 - 
Q#12 - >302204207	specific	254383	167	200	0.000685623	35.956	pfam07719	TPR_2	 - 	cl22897
Q#12 - >302204207	superfamily	277612	167	200	0.000685623	35.956	cl22897	TPR_1 superfamily	 - 	 - 
Q#12 - >302204207	multi-dom	257739	131	198	7.60926e-09	50.3899	pfam13414	TPR_11	 - 	 - 
Q#13 - >302204554	specific	238088	9	125	2.47763e-34	121.144	cd00156	REC	 - 	cl19078
Q#13 - >302204554	superfamily	271833	9	125	2.47763e-34	121.144	cl19078	REC superfamily	 - 	 - 
Q#13 - >302204554	specific	149736	151	256	1.76538e-65	201.724	pfam08769	Spo0A_C	 - 	cl08493
Q#13 - >302204554	superfamily	149736	151	256	1.76538e-65	201.724	cl08493	Spo0A_C superfamily	 - 	 - 
Q#13 - >302204554	multi-dom	131922	4	262	9.31625e-134	381.448	TIGR02875	spore_0_A	 - 	 - 
Q#14 - >283951695	specific	238225	137	236	5.6525e-35	121.788	cd00383	trans_reg_C	 - 	cl21459
Q#14 - >283951695	superfamily	277524	137	236	5.6525e-35	121.788	cl21459	HTH superfamily	 - 	 - 
Q#14 - >283951695	specific	238088	21	118	8.14649e-35	121.914	cd00156	REC	 - 	cl19078
Q#14 - >283951695	superfamily	271833	21	118	8.14649e-35	121.914	cl19078	REC superfamily	 - 	 - 
Q#14 - >283951695	multi-dom	131209	23	237	2.80258e-63	199.092	TIGR02154	PhoB	 - 	 - 
Q#15 - >283951704	specific	238088	4	116	2.2904e-39	133.47	cd00156	REC	 - 	cl19078
Q#15 - >283951704	superfamily	271833	4	116	2.2904e-39	133.47	cl19078	REC superfamily	 - 	 - 
Q#15 - >283951704	specific	238225	129	222	1.39941e-37	127.951	cd00383	trans_reg_C	 - 	cl21459
Q#15 - >283951704	superfamily	277524	129	222	1.39941e-37	127.951	cl21459	HTH superfamily	 - 	 - 
Q#15 - >283951704	multi-dom	223816	1	223	2.94898e-89	265.315	COG0745	OmpR	 - 	 - 
Q#16 - >283951732	specific	238225	133	224	1.2776e-40	136.04	cd00383	trans_reg_C	 - 	cl21459
Q#16 - >283951732	superfamily	277524	133	224	1.2776e-40	136.04	cl21459	HTH superfamily	 - 	 - 
Q#16 - >283951732	specific	238088	6	119	7.61234e-35	121.529	cd00156	REC	 - 	cl19078
Q#16 - >283951732	superfamily	271833	6	119	7.61234e-35	121.529	cl19078	REC superfamily	 - 	 - 
Q#16 - >283951732	multi-dom	223816	7	225	2.14042e-88	263.003	COG0745	OmpR	 - 	 - 
Q#17 - >283951764	specific	238088	5	116	2.96539e-40	135.781	cd00156	REC	 - 	cl19078
Q#17 - >283951764	superfamily	271833	5	116	2.96539e-40	135.781	cl19078	REC superfamily	 - 	 - 
Q#17 - >283951764	specific	238225	132	226	2.08947e-36	125.254	cd00383	trans_reg_C	 - 	cl21459
Q#17 - >283951764	superfamily	277524	132	226	2.08947e-36	125.254	cl21459	HTH superfamily	 - 	 - 
Q#17 - >283951764	multi-dom	223816	3	227	1.12993e-88	263.774	COG0745	OmpR	 - 	 - 
Q#18 - >283952405	specific	238088	8	119	1.37915e-46	152.345	cd00156	REC	 - 	cl19078
Q#18 - >283952405	superfamily	271833	8	119	1.37915e-46	152.345	cl19078	REC superfamily	 - 	 - 
Q#18 - >283952405	specific	238225	134	228	1.63341e-35	122.943	cd00383	trans_reg_C	 - 	cl21459
Q#18 - >283952405	superfamily	277524	134	228	1.63341e-35	122.943	cl21459	HTH superfamily	 - 	 - 
Q#18 - >283952405	multi-dom	223816	7	231	4.30565e-96	283.034	COG0745	OmpR	 - 	 - 
Q#19 - >283952518	specific	238088	4	115	1.1451e-36	126.536	cd00156	REC	 - 	cl19078
