#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-322E53A83FC994AB-18B33BD8870671D5
#datatype	hitsConcise Results
#status	0
#Start time	2015-06-27T19:49:37	Run time	0:02:21:32
#status	live blast search error	msg	Error(s) occurred during search, the result may be incomplete

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >310760606	specific	238088	6	120	1.00797e-31	109.973	cd00156	REC	 - 	cl19078
Q#1 - >310760606	superfamily	271833	6	120	1.00797e-31	109.973	cl19078	REC superfamily	 - 	 - 
Q#2 - >310760612	specific	238088	9	124	3.39925e-33	113.825	cd00156	REC	 - 	cl19078
Q#2 - >310760612	superfamily	271833	9	124	3.39925e-33	113.825	cl19078	REC superfamily	 - 	 - 
Q#2 - >310760612	multi-dom	223816	7	121	1.44244e-23	91.5897	COG0745	OmpR	C	 - 
Q#3 - >310762117	specific	238088	14	125	2.09177e-24	91.0981	cd00156	REC	 - 	cl19078
Q#3 - >310762117	superfamily	271833	14	125	2.09177e-24	91.0981	cl19078	REC superfamily	 - 	 - 
Q#4 - >310758403	specific	238088	4	115	1.9395e-34	120.758	cd00156	REC	 - 	cl19078
Q#4 - >310758403	superfamily	271833	4	115	1.9395e-34	120.758	cl19078	REC superfamily	 - 	 - 
Q#4 - >310758403	specific	238225	126	219	3.29906e-28	103.683	cd00383	trans_reg_C	 - 	cl21459
Q#4 - >310758403	superfamily	277524	126	219	3.29906e-28	103.683	cl21459	HTH superfamily	 - 	 - 
Q#4 - >310758403	multi-dom	130454	3	219	3.36883e-99	290.548	TIGR01387	cztR_silR_copR	 - 	 - 
Q#5 - >310758405	specific	238088	6	120	1.21601e-38	131.544	cd00156	REC	 - 	cl19078
Q#5 - >310758405	superfamily	271833	6	120	1.21601e-38	131.544	cl19078	REC superfamily	 - 	 - 
Q#5 - >310758405	specific	238225	132	225	1.76705e-37	127.951	cd00383	trans_reg_C	 - 	cl21459
Q#5 - >310758405	superfamily	277524	132	225	1.76705e-37	127.951	cl21459	HTH superfamily	 - 	 - 
Q#5 - >310758405	multi-dom	131209	1	226	3.26133e-147	412.878	TIGR02154	PhoB	 - 	 - 
Q#6 - >310758527	specific	238088	4	116	3.0156e-30	109.588	cd00156	REC	 - 	cl19078
Q#6 - >310758527	superfamily	271833	4	116	3.0156e-30	109.588	cl19078	REC superfamily	 - 	 - 
Q#6 - >310758527	specific	238225	129	216	6.01464e-22	86.7344	cd00383	trans_reg_C	 - 	cl21459
Q#6 - >310758527	superfamily	277524	129	216	6.01464e-22	86.7344	cl21459	HTH superfamily	 - 	 - 
Q#6 - >310758527	multi-dom	223816	1	221	3.33303e-70	216.394	COG0745	OmpR	 - 	 - 
Q#7 - >310758657	specific	238088	4	115	1.39232e-30	110.358	cd00156	REC	 - 	cl19078
Q#7 - >310758657	superfamily	271833	4	115	1.39232e-30	110.358	cl19078	REC superfamily	 - 	 - 
Q#7 - >310758657	specific	238225	127	218	8.64219e-19	78.26	cd00383	trans_reg_C	 - 	cl21459
Q#7 - >310758657	superfamily	277524	127	218	8.64219e-19	78.26	cl21459	HTH superfamily	 - 	 - 
Q#7 - >310758657	multi-dom	185376	1	219	7.37023e-79	238.468	PRK15479	PRK15479	 - 	 - 
Q#8 - >310758883	specific	238088	12	124	1.81041e-37	128.848	cd00156	REC	 - 	cl19078
Q#8 - >310758883	superfamily	271833	12	124	1.81041e-37	128.848	cl19078	REC superfamily	 - 	 - 
Q#8 - >310758883	specific	238225	139	234	3.36399e-32	114.469	cd00383	trans_reg_C	 - 	cl21459
Q#8 - >310758883	superfamily	277524	139	234	3.36399e-32	114.469	cl21459	HTH superfamily	 - 	 - 
