#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-33E74F82BF7CB4FE-75D45FCDE3735C6
#datatype	hitsConcise Results
#status	0
#Start time	2015-06-27T19:50:18	Run time	0:01:09:22
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >158303490	specific	238088	7	126	3.84996e-18	74.9197	cd00156	REC	 - 	cl19078
Q#1 - >158303490	superfamily	271833	7	126	3.84996e-18	74.9197	cl19078	REC superfamily	 - 	 - 
Q#2 - >158303755	specific	238088	9	124	2.26969e-23	88.7869	cd00156	REC	 - 	cl19078
Q#2 - >158303755	superfamily	271833	9	124	2.26969e-23	88.7869	cl19078	REC superfamily	 - 	 - 
Q#2 - >158303755	multi-dom	225107	6	125	7.4556e-17	73.1069	COG2197	CitB	C	 - 
Q#3 - >158303834	specific	238088	6	118	1.26083e-25	94.1797	cd00156	REC	 - 	cl19078
Q#3 - >158303834	superfamily	271833	6	118	1.26083e-25	94.1797	cl19078	REC superfamily	 - 	 - 
Q#3 - >158303834	multi-dom	223816	3	122	1.03193e-26	100.064	COG0745	OmpR	C	 - 
Q#4 - >158304255	specific	238088	7	122	4.59761e-23	87.6313	cd00156	REC	 - 	cl19078
Q#4 - >158304255	superfamily	271833	7	122	4.59761e-23	87.6313	cl19078	REC superfamily	 - 	 - 
Q#5 - >158304334	specific	238088	5	118	5.53563e-37	123.455	cd00156	REC	 - 	cl19078
Q#5 - >158304334	superfamily	271833	5	118	5.53563e-37	123.455	cl19078	REC superfamily	 - 	 - 
Q#6 - >158304528	specific	238088	4	120	2.01197e-25	93.4093	cd00156	REC	 - 	cl19078
Q#6 - >158304528	superfamily	271833	4	120	2.01197e-25	93.4093	cl19078	REC superfamily	 - 	 - 
Q#7 - >158305130	specific	238088	12	137	2.61531e-23	89.1721	cd00156	REC	 - 	cl19078
Q#7 - >158305130	superfamily	271833	12	137	2.61531e-23	89.1721	cl19078	REC superfamily	 - 	 - 
Q#7 - >158305130	multi-dom	225107	9	142	1.9074e-18	78.1145	COG2197	CitB	C	 - 
Q#8 - >158306180	specific	238088	5	120	2.88851e-36	121.914	cd00156	REC	 - 	cl19078
Q#8 - >158306180	superfamily	271833	5	120	2.88851e-36	121.914	cl19078	REC superfamily	 - 	 - 
Q#8 - >158306180	multi-dom	223816	4	120	2.77129e-28	104.301	COG0745	OmpR	C	 - 
Q#9 - >158306620	specific	238088	4	118	6.60188e-32	110.358	cd00156	REC	 - 	cl19078
Q#9 - >158306620	superfamily	271833	4	118	6.60188e-32	110.358	cl19078	REC superfamily	 - 	 - 
Q#9 - >158306620	multi-dom	223816	1	117	7.72518e-37	126.643	COG0745	OmpR	C	 - 
Q#10 - >158306854	specific	238088	2	114	3.42378e-22	84.9349	cd00156	REC	 - 	cl19078
Q#10 - >158306854	superfamily	271833	2	114	3.42378e-22	84.9349	cl19078	REC superfamily	 - 	 - 
Q#11 - >158306939	specific	238088	7	128	2.20685e-11	56.4301	cd00156	REC	 - 	cl19078
Q#11 - >158306939	superfamily	271833	7	128	2.20685e-11	56.4301	cl19078	REC superfamily	 - 	 - 
Q#12 - >158307115	specific	238088	6	120	9.82343e-36	120.373	cd00156	REC	 - 	cl19078
Q#12 - >158307115	superfamily	271833	6	120	9.82343e-36	120.373	cl19078	REC superfamily	 - 	 - 
Q#13 - >158307239	specific	238088	4	126	1.44543e-19	78.7717	cd00156	REC	 - 	cl19078
Q#13 - >158307239	superfamily	271833	4	126	1.44543e-19	78.7717	cl19078	REC superfamily	 - 	 - 
