#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-68E4CB676EB7769-31260F0FC600C1A
#datatype	hitsConcise Results
#status	0
#Start time	2015-06-27T19:49:08	Run time	0:00:22:55
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >289597208	specific	238088	6	115	4.81356e-29	102.654	cd00156	REC	 - 	cl19078
Q#1 - >289597208	superfamily	271833	6	115	4.81356e-29	102.654	cl19078	REC superfamily	 - 	 - 
Q#2 - >289596868	specific	238088	5	117	1.80252e-26	96.1057	cd00156	REC	 - 	cl19078
Q#2 - >289596868	superfamily	271833	5	117	1.80252e-26	96.1057	cl19078	REC superfamily	 - 	 - 
Q#2 - >289596868	multi-dom	225107	3	119	3.06715e-20	81.9665	COG2197	CitB	C	 - 
Q#3 - >289596526	specific	238088	4	104	8.43113e-16	67.6009	cd00156	REC	 - 	cl19078
Q#3 - >289596526	superfamily	271833	4	104	8.43113e-16	67.6009	cl19078	REC superfamily	 - 	 - 
Q#3 - >289596526	multi-dom	223816	1	100	2.68745e-13	62.3145	COG0745	OmpR	C	 - 
Q#4 - >289596757	specific	238088	9	121	9.04091e-31	109.973	cd00156	REC	 - 	cl19078
Q#4 - >289596757	superfamily	271833	9	121	9.04091e-31	109.973	cl19078	REC superfamily	 - 	 - 
Q#5 - >25282528	specific	226306	29	128	4.93826e-45	143.876	COG3783	CybC	 - 	cl01546
Q#5 - >25282528	superfamily	242573	29	128	4.93826e-45	143.876	cl01546	Cytochrom_B562 superfamily	 - 	 - 
Q#6 - >25512859	specific	226860	2	96	9.1186e-24	87.774	COG4453	COG4453	 - 	cl01845
Q#6 - >25512859	superfamily	261094	2	96	9.1186e-24	87.774	cl01845	DUF1778 superfamily	 - 	 - 
Q#8 - >25288452	specific	100119	303	361	2.1354e-13	64.433	cd06171	Sigma70_r4	 - 	cl22867
Q#8 - >25288452	superfamily	277582	303	361	2.1354e-13	64.433	cl22867	Sigma70_r4 superfamily	 - 	 - 
Q#8 - >25288452	specific	146934	220	297	1.01482e-27	104.219	pfam04539	Sigma70_r3	 - 	cl04574
Q#8 - >25288452	superfamily	146934	220	297	1.01482e-27	104.219	cl04574	Sigma70_r3 superfamily	 - 	 - 
Q#8 - >25288452	specific	252661	141	211	9.58441e-25	95.7209	pfam04542	Sigma70_r2	 - 	cl08419
Q#8 - >25288452	superfamily	252661	141	211	9.58441e-25	95.7209	cl08419	Sigma70_r2 superfamily	 - 	 - 
Q#8 - >25288452	specific	249622	102	138	4.10633e-14	65.8665	pfam00140	Sigma70_r1_2	 - 	cl02812
Q#8 - >25288452	superfamily	249622	102	138	4.10633e-14	65.8665	cl02812	Sigma70_r1_2 superfamily	 - 	 - 
Q#8 - >25288452	specific	252292	12	66	1.3824e-13	65.3766	pfam03979	Sigma70_r1_1	C	cl04353
Q#8 - >25288452	superfamily	252292	12	66	1.3824e-13	65.3766	cl04353	Sigma70_r1_1 superfamily	C	 - 
Q#8 - >25288452	multi-dom	236413	6	374	0	712.527	PRK09210	PRK09210	 - 	 - 
Q#9 - >25284986	specific	249559	149	216	1.26348e-14	67.5835	pfam00070	Pyr_redox	 - 	cl21454
Q#9 - >25284986	superfamily	277520	149	216	1.26348e-14	67.5835	cl21454	NADB_Rossmann superfamily	 - 	 - 
Q#9 - >25284986	superfamily	277520	11	179	3.62599e-12	63.0835	cl21454	NADB_Rossmann superfamily	 - 	 - 
Q#9 - >25284986	multi-dom	273540	9	306	1.09252e-148	423.191	TIGR01292	TRX_reduct	 - 	 - 
Q#10 - >25516251	specific	238129	482	615	1.16916e-30	116.892	cd00211	PTS_IIA_fru	 - 	cl00163
Q#10 - >25516251	superfamily	275479	482	615	1.16916e-30	116.892	cl00163	PTS_IIA_fru superfamily	 - 	 - 
Q#10 - >25516251	specific	250194	285	374	5.04796e-15	71.5273	pfam00874	PRD	 - 	cl18212
Q#10 - >25516251	superfamily	250194	285	374	5.04796e-15	71.5273	cl18212	PRD superfamily	 - 	 - 
Q#10 - >25516251	specific	252967	67	155	1.35902e-14	69.8846	pfam05043	Mga	 - 	cl21459
Q#10 - >25516251	superfamily	277524	67	155	1.35902e-14	69.8846	cl21459	HTH superfamily	 - 	 - 
Q#10 - >25516251	superfamily	275913	385	471	8.46803e-08	50.1947	cl10014	PTS_IIB superfamily	 - 	 - 
