#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-1C7E1D0B97CD93DE-3D8ECE98D50AF7B1
#datatype	hitsConcise Results
#status	0
#Start time	2015-06-27T19:04:17	Run time	0:01:24:31
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >256007619	specific	238088	4	118	1.19867e-29	104.58	cd00156	REC	 - 	cl19078
Q#1 - >256007619	superfamily	271833	4	118	1.19867e-29	104.58	cl19078	REC superfamily	 - 	 - 
Q#1 - >256007619	multi-dom	225107	1	109	1.18263e-19	80.4257	COG2197	CitB	C	 - 
Q#2 - >256007638	specific	238088	5	120	3.61925e-08	47.5705	cd00156	REC	 - 	cl19078
Q#2 - >256007638	superfamily	271833	5	120	3.61925e-08	47.5705	cl19078	REC superfamily	 - 	 - 
Q#2 - >256007638	multi-dom	225107	2	127	1.36912e-13	64.2473	COG2197	CitB	C	 - 
Q#3 - >256007602	specific	238225	141	235	1.82558e-40	136.04	cd00383	trans_reg_C	 - 	cl21459
Q#3 - >256007602	superfamily	277524	141	235	1.82558e-40	136.04	cl21459	HTH superfamily	 - 	 - 
Q#3 - >256007602	specific	238088	14	125	6.68848e-40	135.396	cd00156	REC	 - 	cl19078
Q#3 - >256007602	superfamily	271833	14	125	6.68848e-40	135.396	cl19078	REC superfamily	 - 	 - 
Q#3 - >256007602	multi-dom	223816	13	239	5.59168e-88	262.618	COG0745	OmpR	 - 	 - 
Q#4 - >256007945	specific	238088	14	126	2.49276e-42	141.559	cd00156	REC	 - 	cl19078
Q#4 - >256007945	superfamily	271833	14	126	2.49276e-42	141.559	cl19078	REC superfamily	 - 	 - 
Q#4 - >256007945	specific	238225	139	231	1.56736e-38	131.032	cd00383	trans_reg_C	 - 	cl21459
Q#4 - >256007945	superfamily	277524	139	231	1.56736e-38	131.032	cl21459	HTH superfamily	 - 	 - 
Q#4 - >256007945	multi-dom	223816	12	235	1.11868e-92	274.559	COG0745	OmpR	 - 	 - 
Q#5 - >256008086	specific	238088	4	116	5.80202e-36	124.996	cd00156	REC	 - 	cl19078
Q#5 - >256008086	superfamily	271833	4	116	5.80202e-36	124.996	cl19078	REC superfamily	 - 	 - 
Q#5 - >256008086	specific	238225	127	220	1.36286e-35	123.328	cd00383	trans_reg_C	 - 	cl21459
Q#5 - >256008086	superfamily	277524	127	220	1.36286e-35	123.328	cl21459	HTH superfamily	 - 	 - 
Q#5 - >256008086	multi-dom	223816	1	224	1.0241e-85	256.84	COG0745	OmpR	 - 	 - 
Q#6 - >256008465	specific	238088	6	116	2.99649e-34	119.988	cd00156	REC	 - 	cl19078
Q#6 - >256008465	superfamily	271833	6	116	2.99649e-34	119.988	cl19078	REC superfamily	 - 	 - 
Q#6 - >256008465	specific	238225	130	220	6.69147e-32	113.313	cd00383	trans_reg_C	 - 	cl21459
Q#6 - >256008465	superfamily	277524	130	220	6.69147e-32	113.313	cl21459	HTH superfamily	 - 	 - 
Q#6 - >256008465	multi-dom	223816	4	224	1.04021e-81	246.055	COG0745	OmpR	 - 	 - 
Q#7 - >256008538	specific	238088	5	115	1.07601e-28	105.736	cd00156	REC	 - 	cl19078
Q#7 - >256008538	superfamily	271833	5	115	1.07601e-28	105.736	cl19078	REC superfamily	 - 	 - 
Q#7 - >256008538	specific	238225	134	220	1.20407e-18	77.8748	cd00383	trans_reg_C	 - 	cl21459
Q#7 - >256008538	superfamily	277524	134	220	1.20407e-18	77.8748	cl21459	HTH superfamily	 - 	 - 
Q#7 - >256008538	multi-dom	223816	4	220	9.59348e-59	187.504	COG0745	OmpR	 - 	 - 
Q#8 - >256008931	specific	238088	5	116	1.41622e-30	110.743	cd00156	REC	 - 	cl19078
Q#8 - >256008931	superfamily	271833	5	116	1.41622e-30	110.743	cl19078	REC superfamily	 - 	 - 
Q#8 - >256008931	specific	238225	136	225	1.49069e-27	102.142	cd00383	trans_reg_C	 - 	cl21459
Q#8 - >256008931	superfamily	277524	136	225	1.49069e-27	102.142	cl21459	HTH superfamily	 - 	 - 
Q#8 - >256008931	multi-dom	223816	4	229	2.67268e-67	209.461	COG0745	OmpR	 - 	 - 
Q#9 - >256007582	specific	238088	7	121	2.75484e-22	88.0165	cd00156	REC	 - 	cl19078
Q#9 - >256007582	superfamily	271833	7	121	2.75484e-22	88.0165	cl19078	REC superfamily	 - 	 - 
Q#9 - >256007582	specific	99777	155	211	2.73509e-18	75.6488	cd06170	LuxR_C_like	 - 	cl21459
Q#9 - >256007582	superfamily	277524	155	211	2.73509e-18	75.6488	cl21459	HTH superfamily	 - 	 - 
Q#9 - >256007582	multi-dom	225107	5	212	3.78435e-58	184.815	COG2197	CitB	 - 	 - 
Q#10 - >256008802	specific	238088	5	119	1.2643e-27	102.654	cd00156	REC	 - 	cl19078
Q#10 - >256008802	superfamily	271833	5	119	1.2643e-27	102.654	cl19078	REC superfamily	 - 	 - 
Q#10 - >256008802	specific	99777	151	207	4.96444e-14	63.7076	cd06170	LuxR_C_like	 - 	cl21459
Q#10 - >256008802	superfamily	277524	151	207	4.96444e-14	63.7076	cl21459	HTH superfamily	 - 	 - 
Q#10 - >256008802	multi-dom	225107	3	208	6.05347e-63	197.141	COG2197	CitB	 - 	 - 
Q#11 - >256009317	specific	238088	9	121	6.34531e-21	84.5497	cd00156	REC	 - 	cl19078
Q#11 - >256009317	superfamily	271833	9	121	6.34531e-21	84.5497	cl19078	REC superfamily	 - 	 - 
Q#11 - >256009317	specific	99777	143	199	1.22778e-17	74.108	cd06170	LuxR_C_like	 - 	cl21459
Q#11 - >256009317	superfamily	277524	143	199	1.22778e-17	74.108	cl21459	HTH superfamily	 - 	 - 
Q#11 - >256009317	multi-dom	225107	5	204	8.63513e-59	186.741	COG2197	CitB	 - 	 - 
Q#12 - >256007743	specific	197715	134	189	1.39634e-08	48.6774	smart00421	HTH_LUXR	 - 	cl21459
Q#12 - >256007743	superfamily	277524	134	189	1.39634e-08	48.6774	cl21459	HTH superfamily	 - 	 - 
Q#12 - >256007743	superfamily	271833	50	104	0.000357486	37.5553	cl19078	REC superfamily	N	 - 
Q#12 - >256007743	multi-dom	225107	1	196	1.72387e-23	93.1373	COG2197	CitB	 - 	 - 
Q#13 - >256008448	specific	238088	6	117	1.20528e-27	102.269	cd00156	REC	 - 	cl19078
Q#13 - >256008448	superfamily	271833	6	117	1.20528e-27	102.269	cl19078	REC superfamily	 - 	 - 
