#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2586876E2A327EDB-483996A5FD394C9
#datatype	hitsConcise Results
#status	0
#Start time	2015-06-27T19:51:55	Run time	0:02:40:08
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >225792049	specific	238088	33	144	8.14636e-27	98.0317	cd00156	REC	 - 	cl19078
Q#1 - >225792049	superfamily	271833	33	144	8.14636e-27	98.0317	cl19078	REC superfamily	 - 	 - 
Q#2 - >225793426	specific	238088	11	122	1.00307e-21	84.1645	cd00156	REC	 - 	cl19078
Q#2 - >225793426	superfamily	271833	11	122	1.00307e-21	84.1645	cl19078	REC superfamily	 - 	 - 
Q#2 - >225793426	multi-dom	223816	8	123	4.46093e-18	76.1817	COG0745	OmpR	C	 - 
Q#3 - >225792884	specific	238088	9	131	2.72365e-25	94.1797	cd00156	REC	 - 	cl19078
Q#3 - >225792884	superfamily	271833	9	131	2.72365e-25	94.1797	cl19078	REC superfamily	 - 	 - 
Q#3 - >225792884	multi-dom	223816	8	121	1.58586e-20	83.8857	COG0745	OmpR	C	 - 
Q#4 - >225791504	specific	238088	6	130	3.87123e-25	93.7945	cd00156	REC	 - 	cl19078
Q#4 - >225791504	superfamily	271833	6	130	3.87123e-25	93.7945	cl19078	REC superfamily	 - 	 - 
Q#5 - >225793459	specific	238088	8	116	8.1434e-16	68.3713	cd00156	REC	 - 	cl19078
Q#5 - >225793459	superfamily	271833	8	116	8.1434e-16	68.3713	cl19078	REC superfamily	 - 	 - 
Q#6 - >225792853	specific	238088	6	123	4.92058e-29	103.039	cd00156	REC	 - 	cl19078
Q#6 - >225792853	superfamily	271833	6	123	4.92058e-29	103.039	cl19078	REC superfamily	 - 	 - 
Q#7 - >225791309	specific	238088	7	120	4.73217e-36	121.529	cd00156	REC	 - 	cl19078
Q#7 - >225791309	superfamily	271833	7	120	4.73217e-36	121.529	cl19078	REC superfamily	 - 	 - 
Q#8 - >225793653	specific	238088	7	122	1.27108e-24	91.8685	cd00156	REC	 - 	cl19078
Q#8 - >225793653	superfamily	271833	7	122	1.27108e-24	91.8685	cl19078	REC superfamily	 - 	 - 
Q#9 - >225792939	specific	238088	7	83	1.87687e-06	41.7925	cd00156	REC	C	cl19078
Q#9 - >225792939	superfamily	271833	7	83	1.87687e-06	41.7925	cl19078	REC superfamily	C	 - 
Q#10 - >225794011	specific	238088	6	117	5.64869e-20	80.3125	cd00156	REC	 - 	cl19078
Q#10 - >225794011	superfamily	271833	6	117	5.64869e-20	80.3125	cl19078	REC superfamily	 - 	 - 
Q#11 - >225791518	specific	238088	44	150	1.37234e-15	68.7565	cd00156	REC	 - 	cl19078
Q#11 - >225791518	superfamily	271833	44	150	1.37234e-15	68.7565	cl19078	REC superfamily	 - 	 - 
Q#12 - >225793413	specific	238088	4	109	6.19357e-35	121.914	cd00156	REC	 - 	cl19078
Q#12 - >225793413	superfamily	271833	4	109	6.19357e-35	121.914	cl19078	REC superfamily	 - 	 - 
Q#12 - >225793413	specific	238225	127	218	1.36642e-33	117.936	cd00383	trans_reg_C	 - 	cl21459
