#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2E4B66450ED2ABBB-1E882CDD8B7F3B8E
#datatype	hitsConcise Results
#status	0
#Start time	2015-06-27T19:51:32	Run time	0:03:53:46
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >198247886	specific	238088	17	126	2.59059e-07	44.4889	cd00156	REC	 - 	cl19078
Q#1 - >198247886	superfamily	271833	17	126	2.59059e-07	44.4889	cl19078	REC superfamily	 - 	 - 
Q#2 - >198248815	specific	238088	23	110	2.73322e-05	42.1777	cd00156	REC	 - 	cl19078
Q#2 - >198248815	superfamily	271833	23	110	2.73322e-05	42.1777	cl19078	REC superfamily	 - 	 - 
Q#2 - >198248815	multi-dom	225107	39	111	0.000253439	40.7501	COG2197	CitB	C	 - 
Q#3 - >198246776	specific	238088	8	119	1.76329e-36	126.151	cd00156	REC	 - 	cl19078
Q#3 - >198246776	superfamily	271833	8	119	1.76329e-36	126.151	cl19078	REC superfamily	 - 	 - 
Q#3 - >198246776	specific	238225	136	230	1.60534e-29	107.15	cd00383	trans_reg_C	 - 	cl21459
Q#3 - >198246776	superfamily	277524	136	230	1.60534e-29	107.15	cl21459	HTH superfamily	 - 	 - 
Q#3 - >198246776	multi-dom	181883	1	231	1.08445e-99	292.648	PRK09468	ompR	 - 	 - 
Q#4 - >198247796	specific	238088	11	125	7.99762e-37	127.307	cd00156	REC	 - 	cl19078
Q#4 - >198247796	superfamily	271833	11	125	7.99762e-37	127.307	cl19078	REC superfamily	 - 	 - 
Q#4 - >198247796	specific	238225	137	229	1.53273e-34	120.632	cd00383	trans_reg_C	 - 	cl21459
Q#4 - >198247796	superfamily	277524	137	229	1.53273e-34	120.632	cl21459	HTH superfamily	 - 	 - 
Q#4 - >198247796	multi-dom	131209	6	231	3.06264e-103	301.555	TIGR02154	PhoB	 - 	 - 
Q#5 - >198248325	specific	238088	4	116	4.85448e-33	116.906	cd00156	REC	 - 	cl19078
Q#5 - >198248325	superfamily	271833	4	116	4.85448e-33	116.906	cl19078	REC superfamily	 - 	 - 
Q#5 - >198248325	specific	238225	127	216	1.9135e-25	95.9792	cd00383	trans_reg_C	 - 	cl21459
Q#5 - >198248325	superfamily	277524	127	216	1.9135e-25	95.9792	cl21459	HTH superfamily	 - 	 - 
Q#5 - >198248325	multi-dom	223816	1	216	4.42129e-74	226.41	COG0745	OmpR	 - 	 - 
Q#6 - >198248511	specific	238225	146	240	9.25143e-29	105.609	cd00383	trans_reg_C	 - 	cl21459
Q#6 - >198248511	superfamily	277524	146	240	9.25143e-29	105.609	cl21459	HTH superfamily	 - 	 - 
Q#6 - >198248511	specific	238088	12	123	4.5619e-23	90.7129	cd00156	REC	 - 	cl19078
Q#6 - >198248511	superfamily	271833	12	123	4.5619e-23	90.7129	cl19078	REC superfamily	 - 	 - 
Q#6 - >198248511	multi-dom	223816	11	244	3.33357e-64	202.142	COG0745	OmpR	 - 	 - 
Q#7 - >198248575	specific	238088	44	163	6.68178e-06	43.3333	cd00156	REC	 - 	cl19078
Q#7 - >198248575	superfamily	271833	44	163	6.68178e-06	43.3333	cl19078	REC superfamily	 - 	 - 
Q#7 - >198248575	superfamily	277524	180	269	1.63462e-14	67.0892	cl21459	HTH superfamily	 - 	 - 
Q#7 - >198248575	multi-dom	223816	40	271	4.01116e-26	103.146	COG0745	OmpR	 - 	 - 
Q#8 - >198248582	specific	238088	5	105	7.4239e-31	111.128	cd00156	REC	 - 	cl19078
Q#8 - >198248582	superfamily	271833	5	105	7.4239e-31	111.128	cl19078	REC superfamily	 - 	 - 
Q#8 - >198248582	specific	238225	128	222	5.04371e-27	100.602	cd00383	trans_reg_C	 - 	cl21459
Q#8 - >198248582	superfamily	277524	128	222	5.04371e-27	100.602	cl21459	HTH superfamily	 - 	 - 
Q#8 - >198248582	multi-dom	223816	4	224	6.0227e-64	200.601	COG0745	OmpR	 - 	 - 
Q#9 - >198249463	specific	238088	8	120	1.91811e-34	121.144	cd00156	REC	 - 	cl19078
Q#9 - >198249463	superfamily	271833	8	120	1.91811e-34	121.144	cl19078	REC superfamily	 - 	 - 
Q#9 - >198249463	specific	238225	136	231	4.49536e-30	109.076	cd00383	trans_reg_C	 - 	cl21459
Q#9 - >198249463	superfamily	277524	136	231	4.49536e-30	109.076	cl21459	HTH superfamily	 - 	 - 
Q#9 - >198249463	multi-dom	181883	1	235	1.28797e-104	305.745	PRK09468	ompR	 - 	 - 
Q#10 - >198248546	specific	238225	151	239	3.21151e-22	87.89	cd00383	trans_reg_C	 - 	cl21459
Q#10 - >198248546	superfamily	277524	151	239	3.21151e-22	87.89	cl21459	HTH superfamily	 - 	 - 
Q#10 - >198248546	multi-dom	182277	22	240	1.40443e-15	72.0583	PRK10161	PRK10161	 - 	 - 
Q#11 - >198249151	specific	238225	178	268	1.22445e-20	84.038	cd00383	trans_reg_C	 - 	cl21459
Q#11 - >198249151	superfamily	277524	178	268	1.22445e-20	84.038	cl21459	HTH superfamily	 - 	 - 
Q#11 - >198249151	multi-dom	131209	60	269	5.36957e-25	99.7105	TIGR02154	PhoB	 - 	 - 
Q#12 - >198246694	specific	238088	9	121	6.91626e-33	120.758	cd00156	REC	 - 	cl19078
Q#12 - >198246694	superfamily	271833	9	121	6.91626e-33	120.758	cl19078	REC superfamily	 - 	 - 
Q#12 - >198246694	specific	99707	148	300	9.11721e-18	79.8827	cd00009	AAA	 - 	cl21455
Q#12 - >198246694	superfamily	277521	148	300	9.11721e-18	79.8827	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#12 - >198246694	superfamily	277610	408	447	0.000178809	39.3242	cl22895	HTH_8 superfamily	 - 	 - 
Q#12 - >198246694	multi-dom	225114	7	459	2.87893e-174	500.686	COG2204	AtoC	 - 	 - 
Q#13 - >198246698	specific	238088	7	119	1.79519e-34	124.996	cd00156	REC	 - 	cl19078
Q#13 - >198246698	superfamily	271833	7	119	1.79519e-34	124.996	cl19078	REC superfamily	 - 	 - 
Q#13 - >198246698	specific	99707	157	308	9.34599e-21	88.3571	cd00009	AAA	 - 	cl21455
Q#13 - >198246698	superfamily	277521	157	308	9.34599e-21	88.3571	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#13 - >198246698	specific	251640	402	438	5.45279e-07	46.643	pfam02954	HTH_8	 - 	cl22895
Q#13 - >198246698	superfamily	277610	402	438	5.45279e-07	46.643	cl22895	HTH_8 superfamily	 - 	 - 
Q#13 - >198246698	multi-dom	225114	1	446	0	528.035	COG2204	AtoC	 - 	 - 
Q#14 - >198247025	specific	238088	11	122	3.52901e-31	115.751	cd00156	REC	 - 	cl19078
Q#14 - >198247025	superfamily	271833	11	122	3.52901e-31	115.751	cl19078	REC superfamily	 - 	 - 
Q#14 - >198247025	specific	99707	144	308	1.88497e-22	92.9795	cd00009	AAA	 - 	cl21455
Q#14 - >198247025	superfamily	277521	144	308	1.88497e-22	92.9795	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#14 - >198247025	multi-dom	225114	11	445	5.84857e-163	471.026	COG2204	AtoC	 - 	 - 
Q#15 - >198247269	specific	238088	9	121	1.23337e-33	122.684	cd00156	REC	 - 	cl19078
Q#15 - >198247269	superfamily	271833	9	121	1.23337e-33	122.684	cl19078	REC superfamily	 - 	 - 
Q#15 - >198247269	specific	99707	164	309	3.30339e-22	92.2091	cd00009	AAA	 - 	cl21455
Q#15 - >198247269	superfamily	277521	164	309	3.30339e-22	92.2091	cl21455	P-loop_NTPase superfamily	 - 	 - 
