#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-256D6FC489C97327-3947B9032399E712
#datatype	hitsConcise Results
#status	0
#Start time	2015-06-27T19:48:44	Run time	0:02:50:14
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >256632465	specific	238088	11	121	1.11136e-36	126.922	cd00156	REC	 - 	cl19078
Q#1 - >256632465	superfamily	271833	11	121	1.11136e-36	126.922	cl19078	REC superfamily	 - 	 - 
Q#1 - >256632465	specific	238225	140	233	5.41624e-30	108.691	cd00383	trans_reg_C	 - 	cl21459
Q#1 - >256632465	superfamily	277524	140	233	5.41624e-30	108.691	cl21459	HTH superfamily	 - 	 - 
Q#1 - >256632465	multi-dom	223816	9	237	1.42704e-75	231.032	COG0745	OmpR	 - 	 - 
Q#2 - >256632494	specific	238088	7	121	5.75835e-42	140.404	cd00156	REC	 - 	cl19078
Q#2 - >256632494	superfamily	271833	7	121	5.75835e-42	140.404	cl19078	REC superfamily	 - 	 - 
Q#2 - >256632494	specific	238225	131	224	3.04335e-32	114.469	cd00383	trans_reg_C	 - 	cl21459
Q#2 - >256632494	superfamily	277524	131	224	3.04335e-32	114.469	cl21459	HTH superfamily	 - 	 - 
Q#2 - >256632494	multi-dom	131209	6	225	5.58228e-107	310.415	TIGR02154	PhoB	 - 	 - 
Q#3 - >256633090	specific	238225	146	239	1.63561e-31	112.928	cd00383	trans_reg_C	 - 	cl21459
Q#3 - >256633090	superfamily	277524	146	239	1.63561e-31	112.928	cl21459	HTH superfamily	 - 	 - 
Q#3 - >256633090	specific	238088	23	135	9.06582e-30	108.817	cd00156	REC	 - 	cl19078
Q#3 - >256633090	superfamily	271833	23	135	9.06582e-30	108.817	cl19078	REC superfamily	 - 	 - 
Q#3 - >256633090	multi-dom	223816	22	243	1.33065e-75	231.032	COG0745	OmpR	 - 	 - 
Q#4 - >256633667	specific	238088	8	123	5.86161e-36	124.996	cd00156	REC	 - 	cl19078
Q#4 - >256633667	superfamily	271833	8	123	5.86161e-36	124.996	cl19078	REC superfamily	 - 	 - 
Q#4 - >256633667	specific	238225	134	229	7.12369e-23	89.816	cd00383	trans_reg_C	 - 	cl21459
Q#4 - >256633667	superfamily	277524	134	229	7.12369e-23	89.816	cl21459	HTH superfamily	 - 	 - 
Q#4 - >256633667	multi-dom	223816	7	233	1.91627e-65	204.838	COG0745	OmpR	 - 	 - 
Q#5 - >256633755	specific	238225	131	217	2.36659e-27	101.372	cd00383	trans_reg_C	 - 	cl21459
Q#5 - >256633755	superfamily	277524	131	217	2.36659e-27	101.372	cl21459	HTH superfamily	 - 	 - 
Q#5 - >256633755	specific	238088	4	116	9.29786e-27	100.343	cd00156	REC	 - 	cl19078
Q#5 - >256633755	superfamily	271833	4	116	9.29786e-27	100.343	cl19078	REC superfamily	 - 	 - 
Q#5 - >256633755	multi-dom	223816	1	221	1.20689e-67	209.846	COG0745	OmpR	 - 	 - 
Q#6 - >256633859	specific	238088	17	129	2.0144e-30	110.358	cd00156	REC	 - 	cl19078
Q#6 - >256633859	superfamily	271833	17	129	2.0144e-30	110.358	cl19078	REC superfamily	 - 	 - 
Q#6 - >256633859	specific	238225	144	236	2.14044e-26	99.0608	cd00383	trans_reg_C	 - 	cl21459
Q#6 - >256633859	superfamily	277524	144	236	2.14044e-26	99.0608	cl21459	HTH superfamily	 - 	 - 
Q#6 - >256633859	multi-dom	223816	14	238	1.24469e-65	205.609	COG0745	OmpR	 - 	 - 
Q#7 - >256634112	specific	238225	130	223	2.85025e-37	127.18	cd00383	trans_reg_C	 - 	cl21459
Q#7 - >256634112	superfamily	277524	130	223	2.85025e-37	127.18	cl21459	HTH superfamily	 - 	 - 
Q#7 - >256634112	specific	238088	4	116	8.10719e-33	116.136	cd00156	REC	 - 	cl19078
Q#7 - >256634112	superfamily	271833	4	116	8.10719e-33	116.136	cl19078	REC superfamily	 - 	 - 
Q#7 - >256634112	multi-dom	223816	1	225	2.57579e-85	255.299	COG0745	OmpR	 - 	 - 
Q#8 - >256634734	specific	238225	128	220	9.9698e-31	111.002	cd00383	trans_reg_C	 - 	cl21459
Q#8 - >256634734	superfamily	277524	128	220	9.9698e-31	111.002	cl21459	HTH superfamily	 - 	 - 
Q#8 - >256634734	specific	238088	4	116	1.46706e-23	92.6389	cd00156	REC	 - 	cl19078
Q#8 - >256634734	superfamily	271833	4	116	1.46706e-23	92.6389	cl19078	REC superfamily	 - 	 - 
Q#8 - >256634734	multi-dom	223816	1	223	1.12453e-60	193.668	COG0745	OmpR	 - 	 - 
Q#9 - >256634866	specific	238088	7	118	2.15818e-40	136.166	cd00156	REC	 - 	cl19078
Q#9 - >256634866	superfamily	271833	7	118	2.15818e-40	136.166	cl19078	REC superfamily	 - 	 - 
Q#9 - >256634866	specific	238225	132	224	1.80858e-28	104.454	cd00383	trans_reg_C	 - 	cl21459
Q#9 - >256634866	superfamily	277524	132	224	1.80858e-28	104.454	cl21459	HTH superfamily	 - 	 - 
Q#9 - >256634866	multi-dom	223816	4	225	3.39721e-72	221.787	COG0745	OmpR	 - 	 - 
Q#10 - >256635031	specific	238225	131	217	2.36659e-27	101.372	cd00383	trans_reg_C	 - 	cl21459
Q#10 - >256635031	superfamily	277524	131	217	2.36659e-27	101.372	cl21459	HTH superfamily	 - 	 - 
Q#10 - >256635031	specific	238088	4	116	9.29786e-27	100.343	cd00156	REC	 - 	cl19078
Q#10 - >256635031	superfamily	271833	4	116	9.29786e-27	100.343	cl19078	REC superfamily	 - 	 - 
Q#10 - >256635031	multi-dom	223816	1	221	1.20689e-67	209.846	COG0745	OmpR	 - 	 - 
Q#11 - >256635127	specific	238088	7	118	2.15818e-40	136.166	cd00156	REC	 - 	cl19078
Q#11 - >256635127	superfamily	271833	7	118	2.15818e-40	136.166	cl19078	REC superfamily	 - 	 - 
Q#11 - >256635127	specific	238225	132	224	1.80858e-28	104.454	cd00383	trans_reg_C	 - 	cl21459
Q#11 - >256635127	superfamily	277524	132	224	1.80858e-28	104.454	cl21459	HTH superfamily	 - 	 - 
Q#11 - >256635127	multi-dom	223816	4	225	3.39721e-72	221.787	COG0745	OmpR	 - 	 - 
Q#12 - >256632336	specific	238088	6	120	1.02413e-32	118.062	cd00156	REC	 - 	cl19078
Q#12 - >256632336	superfamily	271833	6	120	1.02413e-32	118.062	cl19078	REC superfamily	 - 	 - 
Q#12 - >256632336	specific	99777	239	295	1.00795e-17	74.8784	cd06170	LuxR_C_like	 - 	cl21459
Q#12 - >256632336	superfamily	277524	239	295	1.00795e-17	74.8784	cl21459	HTH superfamily	 - 	 - 
Q#12 - >256632336	multi-dom	225107	5	299	5.0748e-22	91.2113	COG2197	CitB	 - 	 - 
Q#13 - >256634472	specific	238088	12	126	2.08829e-32	116.906	cd00156	REC	 - 	cl19078
Q#13 - >256634472	superfamily	271833	12	126	2.08829e-32	116.906	cl19078	REC superfamily	 - 	 - 
Q#13 - >256634472	specific	99777	235	278	5.52278e-10	54.0776	cd06170	LuxR_C_like	C	cl21459
Q#13 - >256634472	superfamily	277524	235	278	5.52278e-10	54.0776	cl21459	HTH superfamily	C	 - 
Q#13 - >256634472	multi-dom	225107	11	278	1.51152e-20	86.9741	COG2197	CitB	 - 	 - 
Q#14 - >256633902	specific	238088	6	120	6.19558e-29	109.588	cd00156	REC	 - 	cl19078
Q#14 - >256633902	superfamily	271833	6	120	6.19558e-29	109.588	cl19078	REC superfamily	 - 	 - 
Q#14 - >256633902	specific	99707	143	301	9.091e-19	82.9643	cd00009	AAA	 - 	cl21455
Q#14 - >256633902	superfamily	277521	143	301	9.091e-19	82.9643	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#14 - >256633902	specific	251640	412	453	4.01481e-06	43.9466	pfam02954	HTH_8	 - 	cl22895
Q#14 - >256633902	superfamily	277610	412	453	4.01481e-06	43.9466	cl22895	HTH_8 superfamily	 - 	 - 
Q#14 - >256633902	multi-dom	225114	1	463	0	528.806	COG2204	AtoC	 - 	 - 
Q#15 - >256633904	specific	238088	8	120	1.47425e-31	116.906	cd00156	REC	 - 	cl19078
Q#15 - >256633904	superfamily	271833	8	120	1.47425e-31	116.906	cl19078	REC superfamily	 - 	 - 
Q#15 - >256633904	specific	99707	147	309	1.74933e-23	96.0611	cd00009	AAA	 - 	cl21455
Q#15 - >256633904	superfamily	277521	147	309	1.74933e-23	96.0611	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#15 - >256633904	superfamily	277610	383	469	6.31802e-18	79.0585	cl22895	HTH_8 superfamily	 - 	 - 
Q#15 - >256633904	multi-dom	273818	7	471	0	614.825	TIGR01818	ntrC	 - 	 - 
Q#16 - >256635019	specific	252210	139	191	2.7914e-08	47.8592	pfam03861	ANTAR	 - 	cl04297
Q#16 - >256635019	superfamily	262090	139	191	2.7914e-08	47.8592	cl04297	ANTAR superfamily	 - 	 - 
Q#16 - >256635019	superfamily	271833	13	106	4.42513e-07	45.6428	cl19078	REC superfamily	 - 	 - 
Q#16 - >256635019	multi-dom	226230	6	191	1.26171e-26	101.641	COG3707	AmiR	 - 	 - 
Q#17 - >256633195	specific	238030	483	602	7.67647e-21	88.4726	cd00075	HATPase_c	 - 	cl00075
Q#17 - >256633195	superfamily	275468	483	602	7.67647e-21	88.4726	cl00075	HATPase_c superfamily	 - 	 - 
Q#17 - >256633195	specific	238088	26	119	1.01733e-07	50.2669	cd00156	REC	 - 	cl19078
Q#17 - >256633195	superfamily	271833	26	119	1.01733e-07	50.2669	cl19078	REC superfamily	 - 	 - 
Q#17 - >256633195	specific	238088	187	292	4.65347e-05	42.1777	cd00156	REC	 - 	cl19078
Q#17 - >256633195	superfamily	271833	187	292	4.65347e-05	42.1777	cl19078	REC superfamily	 - 	 - 
Q#17 - >256633195	specific	119399	352	432	0.00240498	36.4216	cd00082	HisKA	 - 	cl00080
Q#17 - >256633195	superfamily	260177	352	432	0.00240498	36.4216	cl00080	HisKA superfamily	 - 	 - 
Q#17 - >256633195	multi-dom	223816	186	309	9.61301e-07	48.8325	COG0745	OmpR	C	 - 
Q#18 - >256633438	specific	238088	130	236	9.27307e-17	73.3789	cd00156	REC	 - 	cl19078
Q#18 - >256633438	superfamily	271833	130	236	9.27307e-17	73.3789	cl19078	REC superfamily	 - 	 - 
Q#18 - >256633438	multi-dom	236402	3	249	1.42396e-116	337.205	PRK09191	PRK09191	 - 	 - 
Q#19 - >256632263	specific	238088	626	741	1.36686e-18	82.6237	cd00156	REC	 - 	cl19078
Q#19 - >256632263	superfamily	271833	626	741	1.36686e-18	82.6237	cl19078	REC superfamily	 - 	 - 
Q#19 - >256632263	specific	238030	465	594	6.47986e-17	77.687	cd00075	HATPase_c	 - 	cl00075
Q#19 - >256632263	superfamily	275468	465	594	6.47986e-17	77.687	cl00075	HATPase_c superfamily	 - 	 - 
Q#19 - >256632263	specific	119399	348	414	6.66163e-10	56.452	cd00082	HisKA	 - 	cl00080
Q#19 - >256632263	superfamily	260177	348	414	6.66163e-10	56.452	cl00080	HisKA superfamily	 - 	 - 
Q#19 - >256632263	multi-dom	226370	217	595	4.69659e-14	73.1736	COG3852	NtrB	 - 	 - 
Q#20 - >256632337	specific	238030	836	938	3.28481e-28	111.199	cd00075	HATPase_c	 - 	cl00075
Q#20 - >256632337	superfamily	275468	836	938	3.28481e-28	111.199	cl00075	HATPase_c superfamily	 - 	 - 
Q#20 - >256632337	specific	238088	967	1075	3.76699e-21	91.0981	cd00156	REC	 - 	cl19078
Q#20 - >256632337	superfamily	271833	967	1075	3.76699e-21	91.0981	cl19078	REC superfamily	 - 	 - 
Q#20 - >256632337	specific	119399	716	780	9.26601e-16	74.1712	cd00082	HisKA	 - 	cl00080
Q#20 - >256632337	superfamily	260177	716	780	9.26601e-16	74.1712	cl00080	HisKA superfamily	 - 	 - 
Q#20 - >256632337	superfamily	275586	78	514	3.84445e-23	102.304	cl00456	SLC5-6-like_sbd superfamily	 - 	 - 
Q#20 - >256632337	multi-dom	223715	614	947	4.22084e-54	193.432	COG0642	BaeS	 - 	 - 
Q#21 - >256633196	specific	238088	556	664	2.53664e-23	96.1057	cd00156	REC	 - 	cl19078
Q#21 - >256633196	superfamily	271833	556	664	2.53664e-23	96.1057	cl19078	REC superfamily	 - 	 - 
Q#21 - >256633196	specific	238030	406	518	3.59656e-20	86.5466	cd00075	HATPase_c	 - 	cl00075
Q#21 - >256633196	superfamily	275468	406	518	3.59656e-20	86.5466	cl00075	HATPase_c superfamily	 - 	 - 
Q#21 - >256633196	specific	238088	14	122	2.6481e-17	78.7717	cd00156	REC	 - 	cl19078
Q#21 - >256633196	superfamily	271833	14	122	2.6481e-17	78.7717	cl19078	REC superfamily	 - 	 - 
Q#21 - >256633196	specific	119399	273	338	1.0365e-08	52.6	cd00082	HisKA	 - 	cl00080
Q#21 - >256633196	superfamily	260177	273	338	1.0365e-08	52.6	cl00080	HisKA superfamily	 - 	 - 
Q#21 - >256633196	specific	238075	150	242	8.88363e-05	41.4647	cd00130	PAS	 - 	cl21578
Q#21 - >256633196	superfamily	271998	150	242	8.88363e-05	41.4647	cl21578	PAS superfamily	 - 	 - 
Q#21 - >256633196	multi-dom	254806	150	260	3.7346e-07	48.5644	pfam08448	PAS_4	 - 	 - 
Q#22 - >256634471	specific	238030	775	875	2.48141e-32	122.755	cd00075	HATPase_c	 - 	cl00075
Q#22 - >256634471	superfamily	275468	775	875	2.48141e-32	122.755	cl00075	HATPase_c superfamily	 - 	 - 
Q#22 - >256634471	specific	238088	904	1016	6.90833e-22	93.0241	cd00156	REC	 - 	cl19078
Q#22 - >256634471	superfamily	271833	904	1016	6.90833e-22	93.0241	cl19078	REC superfamily	 - 	 - 
Q#22 - >256634471	specific	119399	658	720	1.54015e-14	70.3192	cd00082	HisKA	 - 	cl00080
Q#22 - >256634471	superfamily	260177	658	720	1.54015e-14	70.3192	cl00080	HisKA superfamily	 - 	 - 
Q#22 - >256634471	superfamily	275586	35	452	3.63928e-17	83.8149	cl00456	SLC5-6-like_sbd superfamily	 - 	 - 
Q#22 - >256634471	multi-dom	223715	548	875	3.66715e-59	207.299	COG0642	BaeS	 - 	 - 
Q#22 - >256634471	multi-dom	223816	902	1017	5.55761e-16	78.1077	COG0745	OmpR	C	 - 
Q#23 - >146403371	specific	238088	6	120	1.5139e-27	99.1873	cd00156	REC	 - 	cl19078
Q#23 - >146403371	superfamily	271833	6	120	1.5139e-27	99.1873	cl19078	REC superfamily	 - 	 - 
