#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-9E632DDB35ECDB8-40A1C8A2046F377
#datatype	hitsConcise Results
#status	0
#Start time	2015-06-27T19:50:36	Run time	0:02:42:45
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >85773041	specific	238088	11	116	2.41911e-26	96.1057	cd00156	REC	 - 	cl19078
Q#1 - >85773041	superfamily	271833	11	116	2.41911e-26	96.1057	cl19078	REC superfamily	 - 	 - 
Q#1 - >85773041	multi-dom	223816	9	128	3.5084e-25	95.8269	COG0745	OmpR	C	 - 
Q#2 - >85773084	specific	238088	8	119	3.87296e-28	100.728	cd00156	REC	 - 	cl19078
Q#2 - >85773084	superfamily	271833	8	119	3.87296e-28	100.728	cl19078	REC superfamily	 - 	 - 
Q#2 - >85773084	multi-dom	223816	7	116	1.49898e-22	88.8933	COG0745	OmpR	C	 - 
Q#3 - >85773355	specific	238088	6	113	1.02488e-09	51.0373	cd00156	REC	 - 	cl19078
Q#3 - >85773355	superfamily	271833	6	113	1.02488e-09	51.0373	cl19078	REC superfamily	 - 	 - 
Q#4 - >85773451	superfamily	271833	9	110	0.00290657	33.3181	cl19078	REC superfamily	 - 	 - 
Q#5 - >85773521	specific	238088	39	154	3.1931e-28	102.654	cd00156	REC	 - 	cl19078
Q#5 - >85773521	superfamily	271833	39	154	3.1931e-28	102.654	cl19078	REC superfamily	 - 	 - 
Q#6 - >85773545	specific	238088	7	121	1.07246e-36	122.684	cd00156	REC	 - 	cl19078
Q#6 - >85773545	superfamily	271833	7	121	1.07246e-36	122.684	cl19078	REC superfamily	 - 	 - 
Q#7 - >85773555	specific	238088	8	121	1.41252e-21	83.7793	cd00156	REC	 - 	cl19078
Q#7 - >85773555	superfamily	271833	8	121	1.41252e-21	83.7793	cl19078	REC superfamily	 - 	 - 
Q#7 - >85773555	multi-dom	223816	5	114	5.1913e-18	76.1817	COG0745	OmpR	C	 - 
Q#8 - >85773714	specific	238088	7	119	4.52679e-26	95.3353	cd00156	REC	 - 	cl19078
